A0A061ACU2	A0A061ACU2
A0A075TRC0	A0A075TRC0
A0A076FFM5	A0A076FFM5
A0A076FFM5	Q9FYC2
A0A078CGE6	A0A078CGE6
A0A078CGE6	Q9LJD8
A0A096LP01	A0A096LP01
A0A0B5L781	A0A0B5L781
A0A0B5LB55	A0A0B5LB55
A0A0F7G352	A0A0F7G352
A0A0G2K047	A0A0G2K047
A0A0G2K047	Q9H6R3
A0A0G2K047	B9DGD6
A0A0G2K047	Q01574
A0A0G2K047	P52910
A0A0G2K047	Q99NB1
A0A0G2K047	Q9NUB1
A0A0G2K047	Q9QXG4
A0A0G2K047	Q9NR19
A0A0G2K309	A0A0G2K309
A0A0G2K309	Q9BXI2
A0A0G2K309	Q9Y619
A0A0G2K309	P97521
A0A0G2K309	O43772
A0A0G2K309	Q8N8R3
A0A0G2K309	Q8BL03
A0A0G2K309	P32331
A0A0G2K309	Q6Q0C1
A0A0G2K309	Q6IS41
A0A0G2K309	Q6ZT89
A0A0G2K309	Q8N413
A0A0G2K309	Q8BW66
A0A0G2K309	Q8JZU2
A0A0G2K309	P32089
A0A0G2K309	Q12375
A0A0G2K309	Q93XM7
A0A0K3AR81	A0A0K3AR81
A0A0K3AUE4	A0A0K3AUE4
A0A0P0WQ90	A0A0P0WQ90
A0A0S2UWC9	A0A0S2UWC9
A0A0S2UWC9	Q9XGP7
A0A0U2UYC4	A0A0U2UYC4
A0A140LI88	A0A140LI88
A0A163UT06	A0A163UT06
A0A1C3NSL9	A0A1C3NSL9
A0A1D5PRR9	A0A1D5PRR9
A0A1D5PRR9	Q8IYD8
A0A1D8PN96	A0A1D8PN96
A0A1D8PRB7	A0A1D8PRB7
A0A1D9BZF0	A0A1D9BZF0
A0A1S4BDC4	A0A1S4BDC4
A0A1S4BDC4	A0A1S3XSG2
A0A1S4BDC4	Q8L866
A0A1S4BDC4	A0A9E9KU97
A0A1S4BDC4	A0A9E9KUR1
A0A1S4FPC9	A0A1S4FPC9
A0A1W2P872	A0A1W2P872
A0A1W2P872	Q9JKN6
A0A1W2P872	A0A0B4KGY6
A0A2K8FQU5	A0A2K8FQU5
A0A2K8FQU5	Q9ZTK5
A0A2K8FQU5	Q8GZU0
A0A2P1GIW3	A0A2P1GIW3
A0A2P1GIW3	A0A2P1GIW2
A0A2R8Y7D0	A0A2R8Y7D0
A0A2Z5GDY5	A0A2Z5GDY5
A0A2Z5GDY5	F4JQH3
A0A2Z5GDY5	Q9NQW7
A0A386CAB9	A0A386CAB9
A0A3S7X906	A0A3S7X906
A0A3S7X906	Q57W55
A0A3S7X906	P50542
A0A3S7X906	Q920N5
